diagnosis_code,diagnosis_name,denial_rationale,rebuttal_category,reusable_rebuttal,supporting_criteria,key_clinical_indicators,appeal_type,source_basis,search_terms
A41.9,"Sepsis, unspecified organism",Sepsis-3/SOFA score increase of 2 or more not met,Sepsis-2 versus Sepsis-3,"The patient presented with clinical indicators that supported the claim as submitted and met widely accepted Sepsis-2 criteria. Sepsis was clinically supported when a known or suspected infection was present with at least two SIRS findings, such as fever or hypothermia, tachycardia, tachypnea, leukocytosis, or leukopenia. The denial’s exclusive reliance on Sepsis-3/SOFA criteria did not invalidate the treating provider’s sepsis diagnosis because Sepsis-3 was developed to identify higher mortality risk rather than to serve as the only permissible standard for early clinical diagnosis and treatment.",Sepsis-2 SIRS plus infection; Sepsis-3 SOFA may support severity when present,"Infection source, fever or hypothermia, HR >90, RR >20, WBC >12 or <4, lactate, procalcitonin, cultures, IV antibiotics, IV fluids",Clinical validation,"File Library sepsis appeal sources, including Sepsis-2 against Sepsis-3 language",sepsis SOFA Sepsis-3 Sepsis-2 SIRS infection antibiotics fluids
A41.51,Sepsis due to Escherichia coli,UTI resequenced as principal diagnosis because SOFA criteria were not met,Sepsis due to UTI,"The denial inappropriately reduced the admission to a localized urinary tract infection despite provider documentation and clinical indicators supporting sepsis. Sepsis was supported by the infectious source, abnormal urinalysis or culture data, systemic inflammatory response findings, and treatment directed at systemic infection, including intravenous antibiotics, cultures, fluid resuscitation, and inpatient monitoring. The absence of a payer-selected SOFA threshold did not negate the documented systemic response to infection.",Sepsis-2 SIRS plus urinary source; Sepsis-3 organ dysfunction if present,"UTI/pyelonephritis, positive urine culture, fever, tachycardia, leukocytosis, lactate, AKI, altered mentation, ceftriaxone or other IV antibiotics",Clinical validation; principal diagnosis dispute,File Library E. coli/Gram-negative sepsis denial sources,A41.51 E coli sepsis UTI pyelonephritis SOFA SIRS
A41.59,Other Gram-negative sepsis,Gram-negative sepsis removed and UTI sequenced as principal,Gram-negative sepsis source control,"The record supported Gram-negative sepsis when the patient had a urinary or other Gram-negative infectious source with systemic inflammatory findings and inpatient sepsis treatment. The diagnosis was not invalidated solely because lactate was normal or because the payer preferred Sepsis-3. The provider’s diagnosis was supported by the clinical picture, sepsis treatment pathway, antibiotic selection, cultures, fluid therapy, and serial monitoring.",Sepsis-2 SIRS plus suspected/confirmed Gram-negative infection,"Proteus, E. coli, Gram-negative UTI, fever, tachycardia, leukocytosis, IV ceftriaxone, blood/urine cultures, IV fluids",Clinical validation; principal diagnosis dispute,File Library Gram-negative sepsis appeal source,A41.59 Gram negative sepsis Proteus UTI ceftriaxone cultures
R65.20,Severe sepsis without septic shock,No sepsis-related acute organ dysfunction,Severe sepsis organ dysfunction,"Severe sepsis was clinically valid when the record linked infection and sepsis to acute organ dysfunction or hypoperfusion. Organ dysfunction could be supported by acute respiratory failure, AKI, encephalopathy, hypotension with MAP below 70, lactic acidosis, thrombocytopenia, bilirubin elevation, or other acute dysfunction temporally associated with infection. The diagnosis should not have been removed when the provider documented sepsis and the record showed acute organ dysfunction requiring inpatient treatment and monitoring.",SSC severe sepsis definition; sepsis with organ dysfunction or hypoperfusion,"MAP <70, SBP <90, lactate >2, AKI, acute respiratory failure, encephalopathy, platelets <150k, bilirubin >1.2",Clinical validation,File Library sepsis plus severe sepsis appeal sources,R65.20 severe sepsis organ dysfunction MAP lactate AKI respiratory failure encephalopathy
J96.01,Acute respiratory failure with hypoxia,No ABG or insufficient evidence of hypoxemia,Respiratory failure no-ABG rebuttal,"The absence of an ABG did not invalidate acute hypoxic respiratory failure. Pulse oximetry was clinically acceptable to establish hypoxemia, and respiratory failure was supported when the patient had SpO2 below 91% on room air, a P/F ratio below 300, escalation of oxygen support, respiratory distress, increased work of breathing, or need for high-flow oxygen, BiPAP, or ventilatory support. No minimum oxygen flow rate or mechanical ventilation requirement was necessary when the clinical evidence supported impaired gas exchange and active inpatient respiratory management.",Pinson respiratory failure criteria; SpO2 <91% RA; P/F <300; pulse oximetry acceptable surrogate,"SpO2 <91% on room air, P/F <300, S/F <300, Optiflow/HFNC, BiPAP, tachypnea, respiratory distress, increased work of breathing",Clinical validation,File Library acute respiratory failure appeal source,J96.01 no ABG pulse oximetry SpO2 less than 91 P/F S/F Optiflow BiPAP
J96.21,Acute and chronic respiratory failure with hypoxia,Chronic oxygen baseline or oxygen requirement not high enough,Acute on chronic respiratory failure,"Acute on chronic hypoxic respiratory failure was supported when the patient’s oxygenation worsened beyond baseline or required acute inpatient respiratory management. A chronic home oxygen requirement did not preclude an acute component. The diagnosis was supported by desaturation on usual oxygen or room air, escalation above baseline oxygen requirement, respiratory distress, tachypnea, labored breathing, S/F or P/F impairment, BiPAP/HFNC use, and treatment of the acute pulmonary process.",Acute change from baseline oxygenation; SpO2 <91% on usual FiO2; S/F or P/F impairment,"Home oxygen baseline, increased liters above baseline, SpO2 <91%, respiratory distress, pneumonia, COPD, pleural effusion, HFNC/BiPAP",Clinical validation,File Library J96.21 denial source with no-ABG and oxygen threshold rationale,J96.21 acute chronic respiratory failure home oxygen baseline no ABG oxygen escalation
N17.9,"Acute kidney failure, unspecified",KDIGO criteria not met or creatinine rise attributed to CKD/dehydration,AKI KDIGO validation,"AKI was clinically valid when the record showed a creatinine rise meeting KDIGO criteria, including an increase of at least 0.3 mg/dL within 48 hours, an increase to at least 1.5 times baseline within the prior seven days, or qualifying oliguria. The diagnosis was further supported when clinicians treated and monitored renal dysfunction with IV fluids, strict intake and output, avoidance or holding of nephrotoxins, medication adjustment, renal trend surveillance, or renal imaging consideration. CKD or dehydration did not invalidate AKI when an acute renal change was documented and treated.",KDIGO AKI criteria,"Baseline creatinine, peak creatinine, 0.3 mg/dL rise in 48 hours, 1.5x baseline, oliguria, IV fluids, held Lasix/lisinopril/nephrotoxins",Clinical validation,File Library AKI denial source with KDIGO payer language,N17.9 AKI KDIGO creatinine baseline peak 0.3 1.5 times IV fluids nephrotoxins
G92.8,Other toxic encephalopathy,Baseline dementia or delirium only; toxic etiology not supported,Encephalopathy validation,"Encephalopathy was supported when the record documented an acute global alteration in mental status beyond baseline with confusion, disorientation, hallucinations, inability to provide history, inattention, or fluctuating mentation, and the provider linked the condition to an acute systemic cause such as infection, renal failure, medication, or toxin exposure. Baseline dementia did not exclude superimposed encephalopathy when the record showed an acute change that improved with treatment of the underlying condition.",Acute encephalopathy as global functional alteration in mental status due to systemic factor,"Acute confusion, disorientation, hallucinations, altered level of consciousness, baseline comparison, infection, renal failure, provider query response, improvement with treatment",Clinical validation,File Library toxic encephalopathy denial source,G92.8 toxic encephalopathy dementia delirium acute mental status infection renal failure
G93.41,Metabolic encephalopathy,Baseline dementia or nonspecific altered mental status,Metabolic encephalopathy,"Metabolic encephalopathy was supported when the patient had an acute change in mental status attributable to a systemic metabolic or infectious derangement and the condition required evaluation, monitoring, safety precautions, treatment of the underlying cause, or affected care. Dementia or chronic neurologic disease did not preclude a superimposed acute encephalopathy when the record documented a change from baseline with subsequent improvement as the underlying illness was treated.",Acute global mental status change due to metabolic or systemic illness,"Altered mental status, confusion, somnolence, disorientation, infection, AKI, electrolyte disorder, hypoxia, treatment response",Clinical validation,Synthesized from File Library encephalopathy denial themes,G93.41 metabolic encephalopathy altered mental status baseline dementia infection AKI
E43,Unspecified severe protein-calorie malnutrition,"Payer required weight loss, low BMI, or severe muscle deficit only",ASPEN malnutrition criteria,"Severe malnutrition was clinically validated when the registered dietitian documented at least two ASPEN characteristics in the appropriate clinical context. The diagnosis did not require the payer’s narrower combination of low BMI, severe weight loss, and severe muscle deficit when ASPEN allowed diagnosis using characteristics such as insufficient energy intake, weight loss, loss of muscle mass, loss of subcutaneous fat, fluid accumulation, or reduced grip strength. The record supported reporting when the provider accepted or documented severe malnutrition and the care plan included nutrition intervention, supplements, intake goals, and monitoring.",ASPEN/Academy malnutrition characteristics; at least 2 of 6 characteristics,"Intake <=50% for >=5 days, weight loss, moderate muscle loss, fat loss, edema/fluid accumulation, reduced grip strength, RD assessment, oral supplements",Clinical validation,File Library E43 denial source with ASPEN criteria,E43 severe malnutrition ASPEN intake 50% 5 days muscle loss RD supplements
